date,receipt price,time of exit,dow,is w,is nem,toe hour,toe minute,toe as n
2022-08-04,42.0,1900-01-01 19:45:00,3,False,False,19,45,19.75
2022-08-24,19.45,1900-01-01 18:55:00,2,False,False,18,55,18.916666666666668
2022-08-04,53.3,1900-01-01 20:25:00,3,False,False,20,25,20.416666666666668
2022-08-24,78.45,1900-01-01 19:23:00,2,False,False,19,23,19.383333333333333
2022-08-24,43.85,1900-01-01 18:29:00,2,False,False,18,29,18.483333333333334
2022-08-04,112.9,1900-01-01 21:05:00,3,False,False,21,5,21.083333333333332
2022-08-27,63.4,1900-01-01 19:20:00,5,True,True,19,20,19.333333333333332
2022-08-04,70.85,1900-01-01 20:14:00,3,False,False,20,14,20.233333333333334
2022-08-05,126.3,1900-01-01 19:45:00,4,False,True,19,45,19.75
2022-08-05,49.35,1900-01-01 19:53:00,4,False,True,19,53,19.883333333333333
2022-08-05,49.15,1900-01-01 19:54:00,4,False,True,19,54,19.9
2022-08-04,54.4,1900-01-01 20:56:00,3,False,False,20,56,20.933333333333334
2022-08-04,22.0,1900-01-01 16:52:00,3,False,False,16,52,16.866666666666667
2022-08-04,45.1,1900-01-01 20:31:00,3,False,False,20,31,20.516666666666666
2022-08-31,75.0,1900-01-01 19:55:00,2,False,False,19,55,19.916666666666668
2022-08-10,56.2,1900-01-01 19:30:00,2,False,False,19,30,19.5
2022-08-05,55.0,1900-01-01 18:08:00,4,False,True,18,8,18.133333333333333
2022-08-06,43.15,1900-01-01 17:58:00,5,True,True,17,58,17.966666666666665
2022-08-06,135.65,1900-01-01 18:11:00,5,True,True,18,11,18.183333333333334
2022-08-05,50.5,1900-01-01 20:07:00,4,False,True,20,7,20.116666666666667
2022-08-06,100.1,1900-01-01 19:12:00,5,True,True,19,12,19.2
2022-08-05,58.5,1900-01-01 19:40:00,4,False,True,19,40,19.666666666666668
2022-08-07,25.75,1900-01-01 15:48:00,6,True,False,15,48,15.8
2022-08-07,41.2,1900-01-01 16:26:00,6,True,False,16,26,16.433333333333334
2022-08-07,27.2,1900-01-01 17:03:00,6,True,False,17,3,17.05
2022-08-07,75.0,1900-01-01 17:24:00,6,True,False,17,24,17.4
2022-08-05,14.6,1900-01-01 20:41:00,4,False,True,20,41,20.683333333333334
2022-08-07,71.35,1900-01-01 17:56:00,6,True,False,17,56,17.933333333333334
2022-08-17,105.4,1900-01-01 19:07:00,2,False,False,19,7,19.116666666666667
2022-08-07,48.15,1900-01-01 18:52:00,6,True,False,18,52,18.866666666666667
2022-08-07,84.7,1900-01-01 18:55:00,6,True,False,18,55,18.916666666666668
